ID_Doc,Autores,Ano,Titulo,Periodico,DOI,Fluxo de mobilidade,Enquadramento seminal,Tríade cordal,Classificação agêntica,indice_relevancia_pead
DOC_034,"Hou, M.",2024,Reimagining the Agency of International Students of Color During Global Pandemic and (Neo)Racism,Journal of International Students,10.32674/jis.v14i3.5543,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,95
DOC_035,"Hou, Y.",2026,A Positioning Analysis of School-to-Work Transitions: Narratives of Chinese Master's STEM Students in the U.S,Innovative Higher Education,10.1007/s10755-026-09943-z,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_036,"Hu, M.; Moskal, M.; Read, B.",2025,Mapping the emotions of racialised international students and the politics of exclusion in higher education,Higher Education,10.1007/s10734-024-01362-3,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,80
DOC_037,"Huang, Z. M.; Cockayne, H.",2023,Searching for belonging: learning from students' photographs about their higher education experiences,London Review of Education,10.14324/LRE.21.1.27,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,67
DOC_038,"Ingleton, C.; Cadman, K.",2002,Silent issues for international postgraduate research students: Emotion and agency in academic success,Australian Educational Researcher,,Sul-Norte,Híbrida / Integrada,Tríade Completa,Contestatória-Transformativa,92
DOC_039,"Inouye, K.; Lee, S.; Oldac, Y. I.",2023,A systematic review of student agency in international higher education,Higher Education,10.1007/s10734-022-00952-3,,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_040,"Isiaka, A. B.",2025,"”When You Are in Rome, You Behave like the Romans”: International Students' Experience of Integration Policies at a UK University",Genealogy,10.3390/genealogy9010012,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,82
DOC_041,Jeongyeon; Young,2020,Negotiation of emotions in emerging language teacher identity of graduate instructors,System,10.1016/j.system.2020.102365,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,84
DOC_042,"Jung, G.",2018,“I Know What Freedom and Responsibility Mean Now”: Narratives of Autonomous Adulthood among Korean Students in the USA,Young,10.1177/1103308817715143,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,79
DOC_043,"Kangwa, D.; Msafiri, M. M.; Kidega, C.; Fute, A.",2026,A mixed-methods study of inclusive internationalization and the integration of international postgraduate students in China,Higher Education,10.1007/s10734-026-01721-2,Sul-Sul,Sociológica-Estrutural,Tríade Completa,Contestatória-Transformativa,82
DOC_044,"Kettle, M.",2005,Agency as Discursive Practice: From “nobody” to “somebody” as an international student in Australia,Asia Pacific Journal of Education,10.1080/02188790500032525,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,88
DOC_045,"Kettle, M.",2011,Academic practice as explanatory framework: reconceptualising international student academic engagement and university teaching,Discourse: Studies in the Cultural Politics of Education,10.1080/01596306.2011.537067,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,89
DOC_046,"Khan, J.",2022,A Stressed Present and a Scared Future: An Autoethnography of a Migrant Scholar in Finland,Journal of International Students,10.32674/jis.v12iS2.4344,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Contestatória-Transformativa,76
DOC_047,"Kong, M.",2014,Shifting sands: a resilient Asian teacher's identity work in Australia,Asia Pacific Journal of Education,10.1080/02188791.2013.822791,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_048,"Le, T. T. K.",2026,Social Support and a Growth Mindset: An Autoethnography of a Vietnamese Doctoral Student in Canada,Canadian Journal of Higher Education,10.47678/cjhe.v1i1.190499,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,87
DOC_049,"Lee, S.",2025,International student agency in academic self-formation: Mobility as agency situated within knowledge structures,British Educational Research Journal,10.1002/berj.70019,Norte-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_050,"Lee, S.",2026,Ethnic capital and agency of Chinese and Korean international students in American higher education,Sociological Spectrum,10.1080/02732173.2025.2608030,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Navegação Pragmática,50
DOC_051,"Li, Y.",2024,“I Had so Many Conflicts in My Mind”: Navigating the Doctoral Journey across Languages and Cultures,"Journal of Language, Identity & Education",10.1080/15348458.2021.1972804,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_052,"Li, W.",2026,Investing in Learning Disciplinary and Professional Discourses: An Ethnographic Case Study of a Chinese International Student in a US University,TESOL Quarterly,10.1002/tesq.70045,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,50
DOC_053,"Li, Y.; Craig, C. J.; Zou, Y.",2025,‘I feel I am more open-minded than before’: an international journey of becoming an educational researcher,Teachers and Teaching,10.1080/13540602.2025.2466570,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_054,"Li, C.; Kong, W.; Gao, X. (A.)",2024,International doctoral students’ academic socialisation in China: A social network analysis,Educational Review,10.1080/02671522.2022.2125056,Sul-Sul,Sociológica-Estrutural,Prático-Avaliativa,Navegação Pragmática,84
DOC_055,"Li, L.; Mawene, D.; Chandrashekhar, S.",2024,Navigating becoming people of color in higher education: a duoethnography of three international students of color,International Journal of Qualitative Studies in Education,10.1080/09518398.2024.2388665,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Contestatória-Transformativa,82
DOC_056,"Lin, Y.; Shi, J.; Zhang, C.",2022,Working Toward Becoming Doctoral Researchers: A Collective Autoethnography of International Students in Australia,Journal of International Students,10.32674/jis.v12iS2.4278,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_057,"Lin, C.; Weise, C.; Alvarez, I. M.",2024,Cross-cultural experiences: Voices of the Chinese doctoral students at a Spanish university,Journal of Research in International Education,10.1177/2212585X241270193,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,87
DOC_058,"Liu, D.; Xue, Q.",2026,"Formed in China, negotiated in the UK: national identity among Chinese international postgraduate students",Identities,10.1080/1070289X.2026.2654993,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,86
DOC_059,"Lu, L.; Sun, T.",2025,Exploring the Development of Cross-Cultural Social Connectedness: A Qualitative Study of Malaysian International Students in China,Journal of International Students,10.32674/5zrmtc41,Sul-Sul,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,45
DOC_060,"Mao, J.",2022,"International Doctoral Student Experience: Compassion, Connection, Commitment, and Creativity",Journal of International Students,10.32674/jis.v12i4.3668,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_061,"Marginson, S.",2014,Student Self-Formation in International Education,Journal of Studies in International Education,10.1177/1028315313513036,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,90
DOC_062,"Matsunaga, K.; Chowdhury, R.; Barnes, M. M.; Saito, E.",2020,"The international education experience: identity formation and audibility through participation, adjustment, and resistance",Discourse: Studies in the Cultural Politics of Education,10.1080/01596306.2018.1549535,Sul-Norte,Híbrida / Integrada,Tríade Completa,Contestatória-Transformativa,90
DOC_063,"Morel, T.; Maher, D.; Nyirenda, T.; Olesen, O. F.",2018,Strengthening health research capacity in sub-Saharan Africa: mapping the 2012–2017 landscape of externally funded international postgraduate training at institutions in the region,Globalization and Health,10.1186/s12992-018-0395-0,Sul-Sul,Não Especificada,Não aplicável / Não abordada,Não aplicável / Não abordada,10
DOC_064,"Mukhamejanova, D.",2019,International students in Kazakhstan: A narrative inquiry of human agency in the process of adaptation,International Journal of Comparative Education and Development,10.1108/IJCED-07-2018-0024,Norte-Sul,Sociocognitiva,Tríade Completa,Navegação Pragmática,67
DOC_065,"Mulvey, B.",2020,International Higher Education and Public Diplomacy: A Case Study of Ugandan Graduates from Chinese Universities,Higher Education Policy,10.1057/s41307-019-00174-w,Sul-Sul,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,48
DOC_066,"Nguyen, B. T. T.; Moore, S. H.; Nguyen, V. Q. N.",2021,Coping strategies of Vietnamese overseas-trained returnees to do research in home university contexts,International Journal of Comparative Education and Development,10.1108/IJCED-10-2020-0072,Sul-Norte,Híbrida / Integrada,Iterativa,Navegação Pragmática,38
DOC_067,"Nomnian, S.",2017,"Thai PhD Students and their Supervisors at an Australian University: Working Relationship, Communication, and Agency",PASAA: Journal of Language Teaching and Learning in Thailand,10.58837/CHULA.PASAA.53.1.2,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_068,"Oldac, Y. I.",2023,The contributions of study abroad to home countries: an agential perspective,Higher Education,10.1007/s10734-022-00980-z,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,46
DOC_069,"Olenina, A.; Bamberger, A.; Mun, O.",2023,Classed and gendered internationalisation of research and knowledge production: a critical analysis of international doctoral students in the UK (1998-2016),Oxford Review of Education,10.1080/09620214.2021.2008266,Sul-Norte,Sociológica-Estrutural,Não aplicável / Não abordada,Não aplicável / Não abordada,28
DOC_070,"Pearson, J.",2021,Assessment of agency or assessment for agency?: a critical realist action research study into the impact of a processfolio assessment within UK HE preparatory courses for international students,Educational Action Research,10.1080/09650792.2020.1829496,,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,70
DOC_071,"Phan, A. N. Q.",2022,The Academic Identity Development of International Doctoral Students: An Exploration from a Sociocultural Perspective,Journal of International Students,10.32674/jis.v13i4.5120,Sul-Sul,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_072,"Phan, H. P.",2024,Narratives of ‘delayed success’: a life course perspective on understanding Vietnamese international students’ decisions to drop out of PhD programmes,Higher Education,10.1007/s10734-022-00992-9,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,95
DOC_073,"Phan, A. N. Q.; Ngo, H. N.; Le, C.",2026,Leaving children behind for cross-border education: Unveiling the emotional agency of international post-graduate student mothers,British Educational Research Journal,10.1002/berj.70160,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_074,"Qi, G. Y.; Skyrme, G.; White, C. J.",2024,Developing a distance-based doctoral supervisory model: Inquiry over disrupted trajectories,Distance Education,10.1080/01587919.2023.2198483,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,94
DOC_075,"Qiu, C.",2025,"The name I choose, the self I craft: Chinese international students’ naming practices in the UK",Journal of Multilingual and Multicultural Development,10.1080/01434632.2025.2577262,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_076,"Sadia, H.; Prevett, P.; Whitworth, D.; Gaus, N.",2022,Transition of Female Pakistani Students to both the UK and Postgraduate Education Context: Constructing Hybrid Identities through a modicum of control,"Journal of Vocational, Adult and Continuing Education and Training (republicado em Taylor & Francis)",10.1080/13596748.2021.2011504,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_077,"Saint-Georges, I. de; Budach, G.; Tress, C.",2020,“We need to become ‘educational chameleons’”: from unified to multiple norms in a multilingual and international higher education context,European Journal of Applied Linguistics,10.1515/eujal-2020-0011,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,87
DOC_078,"Sharma, S.",2019,Focusing on Graduate International Students,Journal of International Students,10.32674/jis.v9i3.1276,,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,78
DOC_079,"Siddiqui, S. M.",2026,"Limited Agency, Racialized Labor, and the Mechanization of Asian International Students in U.S. Higher Education",Journal of International Students,10.32674/q3gens82,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Coping,76
DOC_080,"Sinclair, J.; Larson, E. J.; Rajendram, S.",2019,“Be a Machine”: International Graduate Students’ Narratives around High-Stakes English Tests,Language Assessment Quarterly,10.1080/15434303.2019.1628238,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,88
DOC_081,"Singh, M.",2009,"Using Chinese knowledge in internationalising research education: Jacques Ranciere, an ignorant supervisor and doctoral students from China","Globalisation, Societies and Education",10.1080/14767720902908034,Sul-Norte,Híbrida / Integrada,Tríade Completa,Contestatória-Transformativa,82
DOC_082,"Song, J.",2020,Contesting and Negotiating Othering from Within: A Saudi Arabian Female Student’s Gendered Experiences in the U.S.,"Journal of Language, Identity & Education",10.1080/15348458.2019.1654386,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Contestatória-Transformativa,46
DOC_083,"Soong, H.; Thi Tran, L.; Hoa Hiep, P.",2015,Being and becoming an intercultural doctoral student: reflective autobiographical narratives,Reflective Practice,10.1080/14623943.2015.1023276,Sul-Norte,Híbrida / Integrada,Tríade Completa,Contestatória-Transformativa,95
DOC_084,"Straker, J.",2016,International Student Participation in Higher Education: Changing the Focus From “International Students” to “Participation”,Journal of Studies in International Education,10.1177/1028315316628992,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,53
DOC_085,"Spangler, V.",2025,"Negotiating worlds, composing selves: an ethnographic study of international student becomings",Mobilities,10.1080/17450101.2025.2585017,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_086,"Tian, L.; McCafferty, S. G.",2021,Chinese international students' multicultural identity and second language development: gesture awareness and use,Language and Intercultural Communication,10.1080/09658416.2020.1767118,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,81
DOC_087,"Udayanga, S.",2024,"Challenges in navigating the education-migration pathways, and subjective well-being of highly educated immigrants: the case of Indian student immigrants in the United Kingdom",Frontiers in Sociology,10.3389/fsoc.2024.1385664,Sul-Norte,Híbrida / Integrada,Tríade Completa,Coping,88
DOC_088,"Wang, S.; Moskal, M.; Schweisfurth, M.",2022,The social practice of silence in intercultural classrooms at a UK university,Compare: A Journal of Comparative and International Education,10.1080/03057925.2020.1798215,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_089,"Weng, T.",2020,On becoming a doctoral student: Chinese doctoral students’ socialization of capital and habitus in academia,British Journal of Sociology of Education,10.1080/01425692.2020.1745056,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,94
DOC_090,"Woo, H.; Jang, Y. J.; Henfield, M. S.",2015,International Doctoral Students in Counselor Education: Coping Strategies in Supervision Training,Journal of Multicultural Counseling and Development,10.1002/jmcd.12022,Sul-Norte,Sociocognitiva,Prático-Avaliativa,Navegação Pragmática,94
DOC_091,"Wu, T.",2026,‘Being a man isn't about standing above others’: Reworking Confucian masculinities in cross-border transitions,British Educational Research Journal,10.1002/berj.70159,Sul-Norte,Híbrida / Integrada,Tríade Completa,Contestatória-Transformativa,95
DOC_092,"Xu, X.",2024,A Sociomaterial Investigation into Chinese International Students' Navigation of a Doctoral Trajectory During COVID-19,Journal of Studies in International Education,10.1177/10283153221126247,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,88
DOC_093,"Xu, X.; Huang, H.",2026,Mapping Global Research on International Student Agency: A Scientometric Review,Journal of Studies in International Education,10.1177/10283153251392841,Sul-Norte,Híbrida / Integrada,Não aplicável / Não abordada,Navegação Pragmática,64
DOC_094,"Yao, H.-Y.; Flynn, C.",2026,Social Work Professional Identity Development in International Students and Graduates,Australian Social Work,10.1080/0312407X.2025.2498952,Sul-Norte,Não Especificada,Prático-Avaliativa,,
DOC_095,"Ye, J.; Zhang, L. J.; Dixon, H. R.",2026,Development and evaluation of a student feedback agency scale,Assessing Writing,10.1016/j.asw.2026.101096,Sul-Norte,Sociocognitiva,Tríade Completa,Navegação Pragmática,88
DOC_096,"You, J. J.",2022,A 'sensitising' perspective on understanding students' learning experiences in case studies,The International Journal of Management Education,10.1016/j.ijme.2022.100615,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,75
DOC_097,"Yu, Y.",2020,From universities to Christian churches: agency in the intercultural engagement of non-Christian Chinese students in the UK,Higher Education,10.1007/s10734-019-00474-5,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_098,"Yu, Y.; He, R.",2024,The 'chosen' UK? Remapping of international education mobility for prospective Chinese master's students during and post the COVID-19 pandemic,Higher Education,10.1007/s10734-024-01193-2,Sul-Norte,Híbrida / Integrada,Projetiva,Navegação Pragmática,30
DOC_099,"Zhao, Xian",2026,A Non-Essentialist View of Temporality: Theorizing International Students' Experiences as Forms of Future-Oriented Waiting,Journal of Intercultural Communication,10.32674/radajy42,Sul-Norte,Híbrida / Integrada,Projetiva,Navegação Pragmática,70
DOC_100,"Zheng, Weijia",2023,Emotional intercultural competence in contexts: an ethnographic study of Chinese international postgraduate students,Higher Education,10.1007/s10734-022-00973-y,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,74
